Rank	Player ID	Player	Team	Position(s)	ADP	Min Pick	Max Pick	Difference	# Picks	Team	Team Pick
202	15799	Ferguson, Jake	DAL	TE	105.84	23	265		860		
204	17066	Monangai, Kyle	CHI	RB	108.20	11	261		829		
206	13671	Andrews, Mark	BAL	TE	109.15	21	313		876		
208	16186	Addison, Jordan	MIN	WR	110.21	19	281		878		
209	16213	Kincaid, Dalton	BUF	TE	110.21	13	222		828		
210	17039	Shough, Tyler	NOS	QB	110.83	14	301		765		
211	14136	Samuel, Deebo	SFO	WR	111.02	12	256		887		
212	15757	Robinson, Wan'Dale	TEN	WR	112.03	15	289		792		
213	16169	Charbonnet, Zach	SEA	RB	112.72	8	359		832		
218	16150	Stroud, C.J.	HOU	QB	114.81	16	283		693		
220	17075	Golden, Matthew	GBP	WR	115.28	20	255		809		
221	16604	Lloyd, MarShawn	GBP	RB	115.36	10	359		833		
222	13592	Darnold, Sam	SEA	QB	115.42	4	279		674		
224	15694	Willis, Malik	MIA	QB	118.32	6	311		577		
225	16184	Reed, Jayden	GBP	WR	118.69	18	289		705		
228	14059	Jones, Daniel	IND	QB	120.28	14	291		583		
233	15721	White, Rachaad	WAS	RB	121.62	18	298		711		
234	12676	Henry, Hunter	NEP	TE	121.69	15	346		733		
237	14127	Meyers, Jakobi	JAC	WR	123.08	31	306		715		
239	16148	Young, Bryce	CAR	QB	124.19	32	362		444		
241	17053	Marks, Woody	HOU	RB	124.84	16	277		726		
242	14861	Johnson, Juwan	NOS	TE	125.23	4	328		723		
244	17030	Ward, Cam	TEN	QB	126.23	27	335		433		
246	16620	Worthy, Xavier	KCC	WR	127.11	21	284		758		
248	15779	Doubs, Romeo	NEP	WR	127.85	24	285		679		
249	15761	Shakir, Khalil	BUF	WR	128.08	21	317		687		
250	16684	Washington, Malik	MIA	WR	128.15	13	279		690		
251	12616	Brissett, Jacoby	ARI	QB	128.15	3	318		447		
255	16174	Rodriguez, Chris	JAC	RB	129.84	21	370		612		
257	14871	Parkinson, Colby	LAR	TE	130.99	15	260		499		
259	15712	Allgeier, Tyler	ARI	RB	132.07	8	309		646		
262	7836	Rodgers, Aaron	PIT	QB	132.86	2	267		384		
264	16165	Spears, Tyjae	TEN	RB	133.84	14	371		656		
267	14833	Jeudy, Jerry	CLE	WR	134.69	22	306		581		
270	16809	Coker, Jalen	CAR	WR	135.57	14	319		538		
274	14138	Hockenson, T.J.	MIN	TE	139.43	25	283		544		
275	16747	Tracy, Tyrone	NYG	RB	139.80	6	293		573		
