"ADP","Position","Player","Team","FFPC","Sleeper","10-Team","12-Team"
"177","WR-70","Pat Bryant","DEN","-","-","17.03","17.03"
"178","RB-52","Keaton Mitchell","LAC","-","-","17.06","17.06"
"179","WR-71","Brandon Aiyuk","UNS","-","-","17.07","17.07"
"180","RB-53","Isiah Pacheco","DET","-","-","17.08","17.08"
"181","WR-72","Tre Harris","LAC","-","-","17.11","17.11"
"182","WR-73","Calvin Ridley","TEN","-","-","17.12","17.12"
"183","RB-54","Kaytron Allen","WAS","-","-","18.01","18.01"
"184","WR-74","Ja'Kobi Lane","BAL","-","-","18.02","18.02"
"185","WR-75","Isaac TeSlaa","DET","-","-","18.03","18.03"
"186","WR-76","Zachariah Branch","ATL","-","-","18.07","18.07"
"187","WR-77","Nathaniel Dell","HOU","-","-","18.08","18.08"
"188","WR-78","Tre Tucker","LVR","-","-","18.09","18.09"
"189","QB-33","Aaron Rodgers","PIT","-","-","19.02","19.02"
"190","WR-79","Jaylin Noel","HOU","-","-","19.05","19.05"
"191","WR-80","Germie Bernard","PIT","-","-","19.11","19.11"
"192","WR-81","Darnell Mooney","NYG","-","-","19.12","19.12"
"193","WR-82","Jalen Nailor","LVR","-","-","20.04","20.04"
"194","WR-83","Ryan Flournoy","DAL","-","-","20.06","20.06"
"195","QB-34","Kirk Cousins","LVR","-","-","20.08","20.08"
"196","WR-84","Elijah Sarratt","BAL","-","-","20.09","20.09"
"197","WR-85","Chris Brazzell II","CAR","-","-","20.10","20.10"
"198","WR-86","Rashod Bateman","BAL","-","-","21.01","21.01"
"199","WR-87","Keenan Allen","UNS","-","-","21.02","21.02"
"200","WR-88","Keon Coleman","BUF","-","-","21.03","21.03"
"201","WR-89","Cooper Kupp","SEA","-","-","21.04","21.04"
"202","WR-90","Jack Bech","LVR","-","-","21.07","21.07"
"203","WR-91","Devaughn Vele","NO","-","-","21.08","21.08"
"204","QB-35","Deshaun Watson","CLE","-","-","22.03","22.03"
"205","WR-92","De'Zhaun Stribling","SF","-","-","22.04","22.04"
"206","QB-36","Carson Beck","ARI","-","-","22.11","22.11"
