"Rank","Player","Team","Bye","POS","AVG"
"52","D'Andre Swift","CHI","10","RB22","52.0"
"53","Bucky Irving","TB","10","RB23","53.0"
"54","Quinshon Judkins","CLE","11","RB24","54.0"
"55","Bhayshul Tuten","JAC","7","RB25","55.0"
"56","DJ Moore","BUF","7","WR27","56.0"
"57","Lamar Jackson","BAL","13","QB2","57.0"
"58","Christian Watson","GB","11","WR28","58.0"
"59","Rome Odunze","CHI","10","WR29","59.0"
"60","Carnell Tate","TEN","9","WR30","60.0"
"61","Jadarian Price","SEA","11","RB26","61.0"
"62","Brian Thomas Jr.","JAC","7","WR31","62.0"
"63","Jordyn Tyson","NO","8","WR32","63.0"
"64","Tyler Warren","IND","13","TE4","64.0"
"65","Joe Burrow","CIN","6","QB3","65.0"
"66","Jayden Daniels","WAS","7","QB4","66.0"
"67","Marvin Harrison Jr.","ARI","14","WR33","67.0"
"68","Drake Maye","NE","11","QB5","68.0"
"69","Parker Washington","JAC","7","WR34","69.0"
"70","Caleb Williams","CHI","10","QB6","70.0"
"71","Jalen Hurts","PHI","10","QB7","71.0"
"72","Chuba Hubbard","CAR","5","RB27","72.0"
"73","Makai Lemon","PHI","10","WR35","73.0"
"74","Rhamondre Stevenson","NE","11","RB28","74.0"
"75","Jaylen Warren","PIT","9","RB29","75.0"
"76","DK Metcalf","PIT","9","WR36","76.0"
"77","Tony Pollard","TEN","9","RB30","77.0"
"78","Alec Pierce","IND","13","WR37","78.0"
"79","Dak Prescott","DAL","14","QB8","79.0"
"80","Courtland Sutton","DEN","10","WR38","80.0"
"81","Justin Herbert","LAC","7","QB9","81.0"
"82","Quentin Johnston","LAC","7","WR39","82.0"
"83","Tucker Kraft","GB","11","TE5","83.0"
"84","Jayden Reed","GB","11","WR40","84.0"
"85","Trevor Lawrence","JAC","7","QB10","85.0"
"86","RJ Harvey","DEN","10","RB31","86.0"
"87","Jordan Addison","MIN","6","WR41","87.0"
"88","Rico Dowdle","PIT","9","RB32","88.0"
"89","Chris Godwin Jr.","TB","10","WR42","89.0"
"90","Patrick Mahomes II","KC","5","QB11","90.0"
"91","Kyle Monangai","CHI","10","RB33","91.0"
"92","Blake Corum","LAR","11","RB34","92.0"
"93","Michael Wilson","ARI","14","WR43","93.0"
"94","Josh Downs","IND","13","WR44","94.0"
"95","Jaxson Dart","NYG","8","QB12","95.0"
"96","Brock Purdy","SF","8","QB13","96.0"
"97","Sam LaPorta","DET","6","TE6","97.0"
"98","Xavier Worthy","KC","5","WR45","98.0"
"99","J.K. Dobbins","DEN","10","RB35","99.0"
"100","Harold Fannin Jr.","CLE","11","TE7","100.0"
"101","Jakobi Meyers","JAC","7","WR46","101.0"
"102","Ricky Pearsall","SF","8","WR47","102.0"
"103","Matthew Stafford","LAR","11","QB14","103.0"
"104","Michael Pittman Jr.","PIT","9","WR48","104.0"
"105","Kenneth Gainwell","TB","10","RB36","105.0"
"106","Jonathon Brooks","CAR","5","RB37","106.0"
"107","Bo Nix","DEN","10","QB15","107.0"
"108","Kyle Pitts Sr.","ATL","11","TE8","108.0"
"109","Jared Goff","DET","6","QB16","109.0"
"110","Matthew Golden","GB","11","WR49","110.0"
"111","Kyler Murray","MIN","6","QB17","111.0"
"112","Jordan Love","GB","11","QB18","112.0"
"113","Rachaad White","WAS","7","RB38","113.0"
"114","George Kittle","SF","8","TE9","114.0"
"115","Romeo Doubs","NE","11","WR50","115.0"
"116","Wan'Dale Robinson","TEN","9","WR51","116.0"
"117","KC Concepcion","CLE","11","WR52","117.0"
"118","Aaron Jones Sr.","MIN","6","RB39","118.0"
"119","Baker Mayfield","TB","10","QB19","119.0"
"120","Travis Kelce","KC","5","TE10","120.0"
"121","Tyler Shough","NO","8","QB20","121.0"
"122","Jacory Croskey-Merritt","WAS","7","RB40","122.0"
"123","Jayden Higgins","HOU","8","WR53","123.0"
"124","Jordan Mason","MIN","6","RB41","124.0"
"125","Mark Andrews","BAL","13","TE11","125.0"
"126","Chris Rodriguez Jr.","JAC","7","RB42","126.0"
"127","Jake Ferguson","DAL","14","TE12","127.0"
"128","Khalil Shakir","BUF","7","WR54","128.0"
